,Вакансия,Ссылка
68,Ведущий разработчик Microsoft Power BI,https://hh.ru/resume/6c416ce900054f090a0039ed1f4359454d767a?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
69,Аналитик,https://hh.ru/resume/15abcb4a000902e72c0039ed1f6c36355a5649?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
70,Руководитель проектов,https://hh.ru/resume/41b387c2000766d5ea0039ed1f5065456f3438?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
71,Project Engineer / BI analyst,https://hh.ru/resume/77b9affd00029a92b90039ed1f6c4646384f77?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
72,Аналитик,https://hh.ru/resume/e1b370df0007951de20039ed1f365372586653?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
73,Analyst,https://hh.ru/resume/9eddf060000175c8ce0039ed1f3673674d7434?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
74,Аналитик данных в Power BI,https://hh.ru/resume/5e423c80000768e1490039ed1f6a304a415731?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
75,Аналитик,https://hh.ru/resume/16dcd4340008ca83af0039ed1f654938524974?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
76,Аналитик,https://hh.ru/resume/98ff91de00072845060039ed1f306252536c42?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
77,SAP BI/BO,https://hh.ru/resume/8b4a54c800019e713b0039ed1f487a74684374?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
78,Аналитик,https://hh.ru/resume/c03cd95500066a1ecd0039ed1f7a65745a7452?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
79,Data Scientist,https://hh.ru/resume/463af9b100071b117d0039ed1f525a6f777664?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
80,Аналитик данных,https://hh.ru/resume/b768f13700085ccd150039ed1f646675533036?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
81,"BI аналитик, проджект-менеджер",https://hh.ru/resume/bedc27c5000241bf080039ed1f543935644e39?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
82,Аналитик,https://hh.ru/resume/8f8e183b0004fa719e0039ed1f416148755346?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
83,Финансовый аналитик,https://hh.ru/resume/24b4202c0007677bbd0039ed1f4a6b30324739?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
84,Аналитик,https://hh.ru/resume/f348d65d0000965c750039ed1f736563726574?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
85,Аналитик,https://hh.ru/resume/fda27a23000847d7c20039ed1f366346376831?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
86,Аналитик,https://hh.ru/resume/1de9a43a00073f54f00039ed1f394c7a336a41?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
87,Data Analyst,https://hh.ru/resume/c5e91357000291b4150039ed1f6e4f5a4f4654?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
88,SAP BI,https://hh.ru/resume/70772b31000163364c0039ed1f684c596f776e?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
89,Аналитик,https://hh.ru/resume/153097b90005fd239f0039ed1f4f3736644f63?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
90,Аналитик,https://hh.ru/resume/76e842ec0001637c9d0039ed1f6630724f3777?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
91,Аналитик,https://hh.ru/resume/65761e620008bee3d50039ed1f52554c675759?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
